columns,sample,human_detected,csv_detected,id
Adresse,"['2 RUE ROBQUIN', '5 AVENUE DU GAL LECLERC', '19  RUE CURIAL', '11 RUE MARCEL CACHIN', '13 RUE DE LA BEAUCE', '99 AVENUE DE LA DIV LECLERC', '103 AVENUE DE LA REPUBLIQUE', '1 BOULEVARD DE PARIS', '20 ALLEE DE GAGNY', '2 RUE MISSAK MANOUCHIAN']",adresse,adresse,924ee466-472c-4f28-b978-bae68102cf0e
LOCALISATION,"['RUE EUGENE BAUDOUIN', 'VILLA DES NOUZEAUX', 'RUE DU MARECHAL GALLIENI', 'RUE HOCHE', 'BOULEVARD LA LIBERATION', 'AVENUE CURIE', 'RUE RENE JACQUES', 'ALLEE DE LA FONTAINE', 'RUE MADAME JULES FAVRE', 'RUE DU VIADUC']",adresse,adresse,c4811e0d-9f34-4db3-9fa5-dc63ed7aedc4
Adresse,"[""Mas de la Clape, 34300 Le Cap d'Agde"", 'Rue de la Table Ronde, 38200 Vienne, IsÃ¨re, Auvergne-RhÃ´ne-Alpes, France', '1 rue du Musée, 60000 Beauvais', '4 rue de la Montagne Sainte-GeneviÃ¨ve 75005 Paris', '9 Grande Rue, 39600 Arbois', 'Rue du 11 novembre 1918, 58230 DUN-LES-PLACES', '125 avenue de la Blies, 57200 Sarreguemines', 'La Citadelle, Villefranche-sur-mer', '7 rue Jacquard, 42360 Panissières', 'Abbaye de Flaran, 32310 Valence-sur BaÃ¯se']",adresse,adresse,36262084-6e4a-470a-aa8d-9f02b25f34ce
indic_deb_annsco_encours,"['True', 'True', 'True', 'True', 'True', 'True', 'True', 'True', 'True', 'True']",adresse,adresse,9aff30bf-0006-42f9-84b9-f98c1cbba23c
LOGIS_CLASSEMENT,"['1 cheminée # 1 cocotte1 cheminée # 1 cocotte', '1 cocotte # 3 cheminées1 cocotte # 3 cheminées', '1 cocotte # 2 cheminées1 cocotte # 2 cheminées', '3 cheminées # 3 cocottes3 cheminées # 3 cocottes', '3 cheminées # 3 cocottes3 cheminées # 3 cocottes', '3 cheminées # 3 cocottes3 cheminées # 3 cocottes', '2 cheminées # 2 cocottes2 cheminées # 2 cocottes', '3 cheminées # 3 cocottes3 cheminées # 3 cocottes', '2 cheminées # 2 cocottes2 cheminées # 2 cocottes', '1 cocotte # 2 cheminées1 cocotte # 2 cheminées']",adresse,adresse,f8e01836-7edf-47d5-9c11-c47fa6ae2284
RUE,"['Galerie Intermarché ', 'Grande rue de la Barre', 'Route de Bayonne', '18 place Clémenceau', '4, route de Ribérac', '5 place Reine Marguerite', ""23 rue d'Orléans"", '96 rue Gambetta', '402 avenue de Saint-Sever', '30 Allée Edmond Rostand']",adresse,adresse,9aeedb15-8739-414c-9625-1bd7234db33e
Adresse,"['36 RUE DU PARC DE CLAGNY', '228 AVENUE NAPOLEON BONAPARTE', '10 BOULEVARD JEANNETEAU', '1  AVENUE EDOUARD BELIN', '48  RUE SAINT SABIN', '2 boulevard Blaise Pascal', '1030 AVENUE CENTRALE', '27 RUE DE ROCHE GENES', '3 RUE FERNAND HAINAUT', 'AVENUE BERNARD HIRSCH']",adresse,adresse,2e28ceda-d2da-4b91-83df-9392cb9e941c
Adresse,"['22 et 24, route de Vaugirard', '134, rue de la Porte Jaune', '18 à 26, route du Pavé Blanc / av du Général de Gaulle', ""41, rue de l'Ancienne Mairie et 67 av."", '4 et 8, rue du Port', '15, quai Galliéni', 'rue des Mouilles Bœufs', '8, bd de la République / 4, bd de la République', '21, av Jean-Baptiste Clément', '84, bd de la Mission Marchand /']",adresse,adresse,965c566a-a2a3-4c82-a26f-8f8b4fbf02ca
Adresse,"[""1 place d'Alembert"", '71 boulevard Gallieni', '75 boulevard Gallieni', '9 route de Vaugirard', '22 avenue Victor Cresson', '7 mail Raymond Menand', '62 rue du général Leclerc', '47 rue du général Leclerc', '9 rue Auguste Gervais', '4 rue du général Leclerc']",adresse,adresse,3fd809a1-435e-46ad-9932-d2cc7a35d4d6
libelle,"['RUE DES TILLEULS', 'PASSAGE CAYRAS', 'RUE D AQUITAINE', 'RUE EUGENE D HAUTPOUL', 'IMPASSE DES ECLIPSES', 'RUE JOSEPH MARIGNAC', 'CHEMIN DE L ARMURIE', 'BOULEVARD DELTOUR', 'RUE DE LA MARNE', 'RUE CHARLES GOUNOD']",adresse,adresse,3a0b0622-053f-4918-bf99-9d66b52c7461
result_name,"['Avenue Raspail', 'Rue Paul Vaillant Couturier', 'Avenue Pierre Corneille', ""Avenue de l'Europe"", 'Villa du Parc de Montsouris', 'Rue Pierre Brossolette', 'Rue Cambon', 'Allée de Cormeilles', 'Île de Moisson', 'Rue Saint-Augustin']",adresse,adresse,7c629857-073a-48c5-ab4f-f3269e20dca8
RUE,"['1 rue du midi', 'Le Bourg', 'Le bourg', '1 route du Moulin de la Jorle', 'Rue des Amours', ""rue de l'autobus"", 'Rue de la Citadelle', 'Rue de Coueque', 'route de Moncassin', '20 carrefour de Souques Nord']",adresse,adresse,fa08958e-8c01-4f86-8fcf-375f853d0214
ADRESSE1_SITE,"['26 avenue Léon Jouhaux', 'Boulevard Olof Palme', '3 rue Pierre Dupont', '3 bis avenue du Général de Gaulle', '5 rue Saint-Denis', '27 rue Saint-Guillaume', '3 Chemin de la Grange Feu Louis', '4 boulevard du Levant', '20 rue Médéric', '12 rue Alexandre Parodi']",adresse,adresse,6b336f5c-b66a-49b5-9241-faa53f9df774
Adresse,"[""16, RUE DE L'ABBE DERRY"", '237, RUE JEAN-JACQUES ROUSSEAU', '21, VILLA MARGUERITE', '25, AVENUE VICTOR CRESSON', '34/36, RUE DU DOCTEUR ZAMENHOFF', '2, ALLEE LUCIE AUBRAC', '3, RUE HONORE FRAGONARD', '23, RUE ERNEST RENAN', '25, AVENUE VICTOR CRESSON', '3, RUE JULES FERRY']",adresse,adresse,b518eea8-a932-4a37-869e-2f34ba67741a
result_label,"['4 Rue du Général Leclerc 94220 Charenton-le-Pont', '9 Rue du Faubourg du Temple 75010 Paris', '2 Avenue de Verdun 95150 Taverny', '224 Boulevard de la Villette 75019 Paris', '1 Rue Léon Pelouse 95480 Pierrelaye', '38 Avenue Franklin Roosevelt 94300 Vincennes', '20 Rue des Batignolles 75017 Paris', '29 Boulevard Stalingrad 92240 Malakoff', '2 Rue Valentin Conrard 91200 Athis-Mons', ""34 Avenue Marcel Hirbec 78390 Bois-d'Arcy""]",adresse,adresse,e9dc3c41-7b54-4c6a-bb42-cc4e74d95c12
Nom de voie,"['RUE ANQUETIL HALL I', '24 BOULEVARD ALBERT 1ER', 'RUE DU MARÉCHAL JOFFRE', 'AVENUE DU MARÉCHAL LYAUTEY', 'RUE RAYMOND JOSSERAND', 'RUE ODILE LAURENT HALL 9', 'RUE ANQUETIL HALL E', ""AVENUE MAL FRANCHET D'ESPEREY"", 'RUE EDOUARD RENARD', 'RUE RAYMOND JOSSERAND']",adresse,adresse,feee0040-58ec-4a52-9974-7bf4af5b298e
Adresse,"['Religieuses (place des) 13', 'Grenelle (rue de) 59', 'Michel-Ange (rue) 2bis', 'Bonneterie (rue) 35', 'Barèges (rue de)', 'C.D. 21', 'Lusignan (rue de) 4 ; Nançon (anciennement rue du) 26', 'Maréchal-Leclerc (place du)', 'Carnot (rue)', 'Dauphine (place) 15 ; Orfèvres (quai des) 52, 54']",adresse,adresse,3a52af4a-f9da-4dcc-8110-b07774dfb3bc
Description,"['Très tôt, des courses longue distance sont organisées à partir du terrain d’aviation d’Issy. Le 7 août 1910, les concurrents s’élancent pour le circuit de l’Est (785 km en 6 étapes), une grande premiè', 'Malgré la mort de son frère Edouard, Charles Nieuport installe son usine sur l’actuel boulevard Gallieni en 1912. Un an plus tard, il décède. Leur mécène, Deutsch de la Meurthe, rachète alors les brev', 'Deux grands hangars à dirigeables « Astra » et « Clément-Bayard », étaient construits au nord-ouest du terrain, alors champ de manoeuvres militaires. La société Astra avait été fondée en 1908 par l’in', 'Gabriel et Charles Voisin installent leur première usine d’avions boulevard Gambetta (actuel boulevard des frères Voisin), en 1910. Après le décès de Charles en 1912, Gabriel développe l’entreprise. E', '13 janvier 1908. Un peu après 8 heures, Henri Farman décolle sur son biplan Voisin, muni d’un moteur Antoinette, pour le Grand Prix du kilomètre en circuit fermé, organisé par les mécènes Archdeacon e', 'Les frères Gaston et René Caudron créent une école de pilotage à Issy-les-Moulineaux en 1911. Puis, en 1915, à la demande du ministère de la Guerre, ils installent le long de l’actuelle rue Guynemer u', 'Elles sont nombreuses, parmi les plus illustres, à passer par Issy. Thérèse Peltier, restée célèbre pour avoir été la première femme passagère d’un avion.Marie Marvingt, surnommée « la fiancée du dang', 'A partir de 1922, le marquis Raoul Pateras-Pescara effectue à Issy des essais sur des prototypes de son invention. Le 18 avril 1924, en réalisant un bond de 736 mètres, il remporte le record du monde ']",adresse,adresse,0fbcebf8-9760-4c6b-9da7-d867b977ce50
Adresse,"['29 rue Henri Savignac', '19 rue Louis Blanc', '14 rue Michel Vignaud', '20 avenue Jean Jaures', '9 avenue du Marechal de Lattre de Tassigny', '7 boulevard des Nations Unies', '1 rue du Commandant Louis Bouchet', '11 rue Ernest Renan', '21 rue Ernest Renan', '25-27 avenue Henri IV']",adresse,adresse,2b0e6c72-143e-4817-980e-2cbf80732b6f
Nouveau siège social,"['Appartement C54, 31 allée du Roussillon, 31770 Colomiers', '17 allée DE L ARDECHE, 31770 Colomiers', 'Apt 74, 31 allée du Roussillon, 31770 Colomiers', '20 allée DE FOURCAUDIS, 31770 Colomiers', 'la Mijoteuse, 5 place Joseph Verseille, 31770 Colomiers', '14 chemin de la Chasse, 31770, 31770 Colomiers', 'MAISON DES ACTIVITES GYMNIQUES, 10 BIS avenue YVES BRUNAUD, 31770 Colomiers', '80, allée Mady de la Giraudière, 31770 Colomiers', '80, allée Mady de la Giraudière, 31770 Colomiers', '36, avenue Gustave Flaubert, 31770 Colomiers']",adresse,adresse,32bc362f-8631-4428-8d7e-d916df2a4099
published,"['True', 'True', 'True', 'True', 'True', 'True', 'True', 'True', 'True', 'True']",adresse,adresse,e77111d1-2fea-4ecf-8177-5073f846d1a3
ADRESSE,"['2 rue des Longs Prés', '31b rue Fernand-Pelloutier', '50 rue des Abondances', '55 rue Denfert-Rochereau', '31b rue Fernand-Pelloutier', '41 rue Saint-Denis', '56 rue des Abondances', '3 rue Nationale', '41 rue Saint-Denis', '19 rue des Quatre cheminées']",adresse,adresse,0089a342-1cc7-43f3-8c8e-cb4e8b8c7ac3
precision_localisation,"['Numéro de rue', 'Rue', 'Numéro de rue', 'Numéro de rue', 'Numéro de rue', 'Numéro de rue', 'Numéro de rue', 'Numéro de rue', 'Numéro de rue', 'Numéro de rue']",adresse,adresse,a2856dac-ebbe-459b-a24f-747833a61a64
Adresse siège,"['10, avenue Salvador Allende,93270 SEVRAN', '41, avenue du Général de Gaulle,94420 LE PLESSIS-TREVISE', '32 avenue Jean Jaurès,91560 CROSNE', '111 Bis rue Léon Desoyer,78100 SAINT-GERMAIN-EN-LAYE', '18, Avenue du 8 mai 1945\n95200 SARCELLES', '12, boulevard Jean Rose,77100 MEAUX', '128 rue Danton,92500 RUEIL-MALMAISON', '38/40, avenue Salvador Allende,93800 EPINAY-SUR-SEINE', '9, rue du Docteur Vinot,91260 JUVISY-SUR-ORGE', '10, avenue du Noyer Lambert,91300 MASSY']",adresse,adresse,7cc89cb2-312d-4dd5-8391-8184d335f243
ADRESSE,"['446 AVENUE DE LA REPUBLIQUE', '12 SQUARE DES MOULINEAUX', '47 RUE DU GENERAL LECLERC', ""3 PLACE DE L'HOTEL DE VILLE"", '170 GRANDE RUE', '9 RUE DES PARADIS', '3 AVENUE DES LOTS COMMUNAUX', '378 RUE GABRIEL PERI', '4 BOULEVARD DES PYRENEES', '3 PLACE ANDRE MALRAUX']",adresse,adresse,01c22893-5066-4b30-94fb-9a91b27694e6
ADRESSE 1,"['34 rue de la Sellerie', '7 rue du Docteur Rambert', 'B.P. 111', '19 place de la Broglie', '11 boulevard Victor Hugo', '2 rue des Bons Enfants                                ', 'Place de la Comédie', '-', '2 rue Molière', '1 rue Molière']",adresse,adresse,3e1ad5c9-8891-4106-9371-96e9dc28b9d8
RUE,"['chemin de la Plage', 'rue Henri Desbals', 'Rue Raymond IV', 'Chemin de Michoun', 'rue Paul Lambert', 'place Micoulaud', 'impasse Foulquier', 'avenue Jean Moulin', 'av.des Arènes Romaines', 'av Jean Rieux']",adresse,adresse,0ce69f9b-bbc6-47bb-8687-4fb70fe5a578
Montée autorisée,"['True', 'True', 'True', 'True', 'True', 'True', 'True', 'True', 'True', 'True']",adresse,adresse,defdb276-6a20-40d9-8b8d-bad5d25db5d9
address,"['Rue des petits prés  95000 CERGY', 'AVENUE FERNAND CHATELAIN ANGLE RUE DE PIERRELAYE 95600 - ERAGNY', '144 RUE DU GENERAL LECLERC', 'PLACE DES 3 GARES - 95000 CERGY', 'Avenue du Général de Gaulle', 'RUE DES GÉMEAUX - 95000 CERGY', 'RUE DU BAS NOYER DEVANT CENTRE COMMERCIAL ART DE VIVRE - ERAGNY', 'CHEMIN DE CERGY DEVANT LA GARE - 95010 NEUVILLE', 'ALLÉE DU BELVÉDÈRE ANGLE ROND POINT DES RAIES - 95000 CERGY', 'ROUTE D14, DEVANT LE COMPLEXE SPORTIF ARENICE']",adresse,adresse,e627cbd4-e384-403c-8101-f2292fafb3e5
typvoie,"['RUE', 'AVENUE', 'ROUTE', 'RUE', 'RUE', 'RUE', 'RUE', 'AVENUE', 'AVENUE', 'RUE']",adresse,adresse,382c6249-7a42-484f-a921-228f5c37571c
Adresse,"['75 boulevard de Fourmies', 'Avenue Alexander Fleming', 'Rue Jean Bart', '43 rue Saint Jean', '40 rue Dupuy de Lôme', ""27 rue de l'Epeule"", ""70 rue de l'Union, 59200 Tourcoing"", '71 rue du Chemin Neuf', ""rue d'Avelghem"", '2 rue du Pays']",adresse,adresse,381d9030-c8ce-4abd-803c-d8c84d003a14
TYPEVOIE_T,"['BOULEVARD', 'RUE', 'RUE', 'BOULEVARD', 'RUELLE', 'RUE', 'RUE', 'PLACE', 'AVENUE', 'RUE']",adresse,adresse,00acbc3a-9663-455f-91eb-3c19214e840a
Unité légale purgée,"['True', 'True', 'True', 'True', 'True', 'True', 'True', 'True', 'True', 'True']",adresse,adresse,acf2e385-0149-45cc-bceb-fca51f3847d5
Quatrième ligne de l’adressage déclaré pour l’établissement,"['102 B RUE FAIDHERBE', '125 RUE DE L ABBE BONPAIN', '53 RUE PASTEUR', '1106 RUE GAMBETTA', '280 RUE PIERRE LEGRAND', '29 RUE DE LA RESISTANCE', '14 RUE DE L EPINOY', ""34 RUE D'HURLUPIN"", '22 PL DU GENERAL LECLERC', '179 BD DE LA LIBERTE']",adresse,adresse,10a43614-3293-474a-8f51-5f8f890060a8
Adresse,"['1045 Avenue de la Medecine', '10 Rue Vauquelin', '74 route du Rhin', 'Les Hauts du ChazalUFR SMP\n19 rue Ambroise Paré', 'UNIVERSITE PIERRE ET MARIE CURIE PARIS 6 Laboratoer Jacques-Louis Lions Case 187 -\n4, place Jussieu', '2 AVENUE DE LA FORET DE HAYE', '2 rue de la Charite', 'BP 60319', 'UNIVERSITE TOULOUSE II LE MIRAIL\nMAISON DE LA RECHERCHE\n5, Allées Antonio Machado', 'Unite de Dynamique du genome Departement Genomes et Genetique\n25-28, rue du Docteur Roux']",adresse,adresse,594255a1-9f5c-48ff-90b9-bf1e22d187a1
n_station,"['Rue de Coueslan', 'Quai des Récollets', 'Rue du Pré de la Dame', 'Place Saint Gaudence', 'Place de La Liberté', 'Boulevard des Iles', 'Lomener - Place Patrick Bihan', 'Place de la Mairie', ""Place d'Armes"", 'Ruelle des Champs']",adresse,adresse,e2f49a12-ead4-4f08-bd3c-8482df24b56e
Adresse,"['11 rue de Versailles', '1 avenue de Balzac', 'mail du Docteur Bosvieux', '20-22 rue de marnes', '201 rue de Versailles', '13 rue de saint-cloud']",adresse,adresse,75159a83-a72d-4bce-a243-eb63af9fe198
Adresse,"['212 Boulevard St-Marcel 13011 Marseille', '27 place du Colombier, 35000 Rennes', 'Espace Périphérique de la Villette - 2 rue de la Clôture 75019 Paris', '30 rue des Vignes, 33800 Bordeaux', '4 allée des Loisirs 60700 Pont Sainte-Maxence', '5 place de la Division Leclerc, 78960 Voisins-le-Bretonneux', '24 rue Saint- Claude', '2 boulevard du Général Leclerc 51100 Reims', '7 rue de Méric, 57050 Metz', '7 cité Chaptal 75009 Paris']",adresse,adresse,d3332494-8006-4bf1-8591-73714348f602
