columns,sample,human_detected,csv_detected,id,,,,,,,,,,,,,,,,,,,,,,adresse
I_LGTR_SENIORS,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_LGTR_ETUDIANTS,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_LGTR_TOURISME,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_LGTR_HOTELIERESOC,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_LGTR_SOCIAL,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_LGTR_HANDICAPES,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_LGTR_AUTRE,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_LGTR_AUTRE_LIBELLE,"""[logement gardien, RESIDENCE LOCATIF, RESIDENCE SERVICES SENIORS, prive, logement de fonction, residnece services seniors, Amenagement de 4 appartements dans les locaux existants, Residence service intergenerationnelle, MAISON D'ACCUEIL, RESIDENCE AUTONOMIE]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
SDP_A1,"""[0.0, 2048.0, 6.0, 13.0, 15.0, 16.0, 18.0, 19.0, 22.0, 23.0]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
SDP_B1,"""[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
SDP_D1,"""[0.0, 2.0, 3.0, 5.0, 7.0, 13.0, 14.0, 16.0, 17.0, 18.0]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
SDP_ E1,"""[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 517.0]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
SDP_F1,"""[0.0, 512.0, 2.0, 3.0, 5.0, 8.0, 17.0, 18.0, 20.0, 534.0]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
TYPE_OPERATION_CONSTR,"""[1, 4, 5, 6, 7, 10, 12, 14]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
PERIODE_DEVRT,"""[2018-06-30]""",date,date,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
DATEREELLE_DECISION_FAV,"""[2017-11-18, 2017-09-20, 2017-09-19, 2016-09-20, 2018-02-15, 2018-06-14, 2017-10-13, 2017-11-20, 2018-06-12, 2017-10-10]""",date,date,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
DATEREELLE_DOC,"""[2018-01-10, 2017-07-18, 2017-09-20, 2018-02-15, 2018-06-14, 2017-10-13, 2018-06-12, 2017-10-10, 2018-04-24, 2017-12-31]""",date,date,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
REG,"""[32, 1, 2, 3, 4, 6, 75, 44, 76, 11]""",code_region,code_region,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
DEP,"""[42, 17, 50, 51, 94, 33, 52, 92, 48, 05]""",code_departement,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
COMM,"""[22360, 53014, 84072, 77251, 60116, 33243, 23193, 26160, 29066, 35288]""",code_commune_insee,code_commune_insee,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ANNEE_DEPOT,"""[2016, 2017, 2018, 2014, 2015]""",year,year,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ID_PC,"""[0385191720030, 01206318U1003, 0595991800016, 03321417S0020, 0595991800013, 03155518C0089, 09300618B0002, 06032716T0006, 0627631700006, 03114918C0021]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
CAT_MOA,"""[8, 9, 2, 1]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
TYPE_MOA,"""[2]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
RS_D,"""[EQUIMETH, CTE  CNES DU PLATEAU DE MONTBA, COMMUNE DE BESSE, GAEC DES HAUTES TERRES, CHU Felix Guyon, GAEC ITHURRIETA, LA VIE ACTIVE, Societe Civile Immobiliere, EARL Poillot Boyer, President du Conseil Departe]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
DENOMINATION_D,"""[REGION ILE DE FRANCE, GIRAUDIERE ENERGIES, ASSOCIATION DIOCESAINE DE CRETEIL, SCI OMARJEE - TINO - LEICHNIG, SCI JPA, ADAPEI 35, SCI MATM 2017, ATLANTIQUE GASCOGNE CONSTRUCTIONS, TARN ET GARONNE HABITAT, SCI DU PRIEURE DE CINTHEAUX]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
SIRET_D,"""[33052563500125, 41481927600026, 42183934100029, 44386942500019, 82458005400016, 81257987800016, 83449126800019, 81086184900018, 33548067900109, 78460657600758]""",siret,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_NUM_D,"""[1435, 360, 171, 1804, 50, 94, 194, 52, 10b, 140]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_TYPEVOIE_D,"""[CHE, Ferme, espla, ., Quart, a, BD, IMP, HAMEA, Allee]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_LIBELLEVOIE_D,"""[Chemin de Longuerue, CHE DU MARAVAL, Le Chene Baudet, CS 70025, DES AMANDIERS, du Mont, rue de Chanaleilles, place du Chateau, Avenue du Grand Travers -, 50  route de Pont Saint Vi]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_LIEUDIT_D,"""[PARC D'ACTIVITE DE FONTVIEILLE, Ferme des 3 Tilleuls, Saint-Antoine, PAR MME ROBERT NATHALIE, Res Barbicaja Imm Les Genets, LA MORLAIS, Les Bas Fraisses, Les Gaulnes, Chante Morliere, Chjosu a ghjesgia]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_BP_D,"""[358, 40172, BP 20, BP 85, 17, 400, B.P., CS 40, 60030, 082]""",,code_commune_insee,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_CP_D,"""[22360, 77300, 69780, 26160, 26420, 91080, 22300, 56690, 75002, 13080]""",code_postal,code_postal,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_LOCALITE_D,"""[EAUNES, BETAILLE, Biches, TREVILLERS, SAINT-POL-DE-LEON, RENNES, Saint-Laurent-des-Arbres, Meilhards, Plevin, Conde-sur-Risle]""",commune,commune,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_CEDEX_D,"""[20, 14, 96, 20255, 2, 08, 70, 9, 1, cedex]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_PAYS_D,"""[131, 100]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_NUM_T,"""[25 B, 1/3/5, 1804, 50, 45-47, 94, 4428, 52, 10b, 140]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_TYPEVOIE_T,"""[CHE, BD, IMP, Allee, route, avenu, cite, lieu-, VOIE, QUAI]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_LIBELLEVOIE_T,"""[AVENUE CORENTIN CARIOU, RUE JACOB, RUE DE LA GRANIERE, rue des Deux Montagnes Que, Avenue de la Plesse, RUE DES CRUCHETS, place du Chateau, de Brandebourg, 36 RUE DE LA PORTE D'EN BA, LUCIEN LEROUSSEAU]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_LIEUDIT_T,"""[PARC D'ACTIVITE DE FONTVIEILLE, 1 rue Marie Lahy Hollebecque, Saint-Antoine, ZI DU GRAND CHEMIN, MALTRAITS, EN GRAND CHAMP, Champ Fleuri, LA MORLAIS, ZAC ARITXAGUE MELVILLE LYNCH, Les Bas Fraisses]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_BP_T,"""[2, 107, rue S, 35140, 807, B.P.]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_CP_T,"""[69780, 26160, 26420, 22300, 16600, 56690, 75002, 45140, 31450, 25560]""",code_postal,code_postal,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_LOCALITE_T,"""[EAUNES, CASTERA-VERDUZAN, BETAILLE, ABERGEMENT CLEMENCIAT, Biches, TREVILLERS, SAINT-POL-DE-LEON, Burnhaupt-le-Bas, RENNES, Saint-Laurent-des-Arbres]""",commune,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ADR_CEDEX_T,"""[rue S]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
CADASTRE1,"""[126AN, 0082AW, 0048BM, 764C, 685C, 0177AI, 82ZM, 004133, 9ZM, 68A]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
CADASTRE2,"""[202AC, 0118A, 0048ZA, 0217CW, 370BT, 16ZD, 1612F, 398F, 0065AO, 0074BO]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
CADASTRE3,"""[869C, 0499B, 16ZD, 2AK, 398F, 557CS, 199AJ, 0407C, 1934A, 070G]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
TYPE_EVT,"""[1, 2, 3]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
SUPERFICIE_T,"""[0, 1, 4, 8200, 20, 327705, 16411, 8220, 65565, 65566]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
LOTISSEMENT,"""[0.0, 1.0]""",booleen,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
ZAC,"""[0.0, 1.0]""",booleen,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
AFU,"""[0.0]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
NB_NIV_MAX,"""[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
NATURE_PROJET,"""[1.0, 2.0]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
I_EXTENSION,"""[0, 1]""",booleen,booleen,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
I_SURELEVATION,"""[0, 1]""",booleen,booleen,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
I_NIVSUPP,"""[0, 1]""",booleen,booleen,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
NB_CHB,"""[0, 1, 2, 5, 6, 7, 11, 12, 14, 15]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
SDP_A2,"""[0.0, 899.0, 44803.0, 1412.0, 647.0, 4231.0, 1803.0, 2316.0, 140.0, 2193.0]""",,booleen,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
SDP_B2,"""[0.0, 260.0, 5.0, 263.0, 395.0, 16.0, 17.0, 276.0, 279.0, 280.0]""",,booleen,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
SDP_D2,"""[0, 3603, 407, 280, 922, 2333, 158, 292, 46, 695]""",,booleen,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
SDP_E2,"""[0.0, 4.0, 6.0, 8.0, 9.0, 20.0, 26.0, 410.0, 31.0, 41.0]""",,booleen,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
SDP_F2,"""[0, 1762, 258, 567, 197, 744, 111, 368, 177, 4789]""",,booleen,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
SDP_A3,"""[0, 7, 11, 12, 13, 15, 16, 19, 20, 21]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
SDP_B3,"""[0, 3, 4, 5, 6, 7, 9, 11, 12, 13]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
SDP_D3,"""[0, 4, 6, 13, 15, 16, 529, 18, 19, 22]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
SDP_E3,"""[0, 5, 7, 8, 9, 12, 13, 15, 16, 17]""",,,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
SDP_F3,"""[0.0, 513.0, 7.0, 13.0, 14.0, 18.0, 25.0, 26.0, 27.0, 28.0]""",,booleen,04b575ae-155b-4cba-abd4-1a5e65c36eb3,,,,,,,,,,,,,,,,,,,,,,
