columns,sample,human_detected,csv_detected
Commune (ou arrondissement municipal) de résidence,"['Boigny-sur-Bionne' 'Fleury-les-Aubrais' 'Sougy' 'Boigny-sur-Bionne'
 'Saint-Jean-de-Braye' 'Saint-Jean-de-Braye' 'Ingrannes' 'Olivet'
 'Charsonville' 'Olivet']",commune,commune
"""codeInsee""",[35038 56058 35268 22261 22356 29105 22274 22086 22046 56261],code_commune_insee,code_commune_insee
Sexe-21,['M' 'M' 'M' 'M'],sexe,sexe
"""guid""","['https://datacat.datalocale.fr/dataset/414927'
 'https://datacat.datalocale.fr/dataset/415751'
 'https://datacat.datalocale.fr/dataset/414860'
 'https://datacat.datalocale.fr/dataset/415803'
 'https://datacat.datalocale.fr/dataset/415492'
 'https://datacat.datalocale.fr/dataset/774121'
 'https://datacat.datalocale.fr/dataset/415411'
 'https://datacat.datalocale.fr/dataset/583777'
 'https://datacat.datalocale.fr/dataset/415013'
 'https://datacat.datalocale.fr/dataset/414905']",url,url
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"['                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                '
 '                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     '
 '                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 '
 '                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  '
 '                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            '
 '                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                '
 '                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      '
 '                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       '
 '                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   '
 '                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ']",csp_insee,csp_insee
P14_POP1824,"[1289.321342   718.8427342 1475.70289   1136.2538    1234.249329
  898.8968063 2411.807215  1069.312732   680.1267053 1123.196208 ]",longitude_l93,longitude_l93
POINT_Y,"[6906473.06531 6957512.4819  6853746.08279 6900897.28806 6827557.1707
 6868508.53191 6958554.6256  6855214.81008 6897926.24806 6905754.03974]",latitude_l93,latitude_l93
Type fichier,['CA' 'CA' 'CA' 'CA' 'CA' 'CA' 'CA' 'CA' 'CA' 'CA'],iso_country_code,iso_country_code
Canton,"['Issy-les-Moulineaux' 'Meudon' 'Colombes-1' 'Nanterre-2' 'Châtillon'
 'Montrouge' 'Courbevoie-1' 'Levallois-Perret' 'Colombes-2'
 'Gennevilliers']",insee_canton,insee_canton
% Exp/Vot,"['97,2' '97,95' '98,94' '97,69' '98,58' '98,21' '99,05' '97,64' '98,36'
 '98,46']",longitude_wgs,longitude_wgs
CODE_POSTAL,[40465 40300 40700 40240 40170 40170 40140 40210 40130 40320],code_postal,code_postal
INFOS_COMPLEMENTAIRES_1,['\r\n' '\r\n' '\r\n' '\r\n' '\r\n' '\r\n' '\r\n' '\r\n' '\r\n' '\r\n'],pays,pays
PTF_ORGA_ID_CONTRIB2,"[2.16902718e+08 2.00071140e+08 2.29200506e+08 2.13502818e+08
 2.00068989e+08 2.13100449e+08 2.14401143e+08 2.00034700e+08
 2.00067205e+08 2.42500361e+08]",siren,siren
Téléphone,"['06 80 73 06 66' '06 81 58 26 12' '06 78 00 32 07' '06 80 73 06 66'
 '06 08 63 95 03' '06 82 79 92 50' '06 80 58 61 48' '06 08 63 95 03'
 '06 80 73 06 66' '06 75 34 37 56']",tel_fr,tel_fr
"""email""","['contact@cri-diagnostic.com' 'cabinet.alvarez@wanadoo.fr'
 'contact@kazadiag.com' 'sylvainleo@ahexpertises.fr'
 'contact@adx-groupe.com' 'voisin@bloy.geometre-expert.fr'
 'entreprisejeanpierreperez@gmail.com' 'j.parment@kapeco.com'
 'c.milano@sfr.fr' 'm.amrani@aredia.fr']",email,email
compte_twitter,"['@SATTaquitaine' '@ECA_Univ_Bdx' '@SATTaquitaine' '@SATTaquitaine'
 '@irtSaintEx']",twitter,twitter
Première activité secondaire déclarée dans l'ESA,"['7490B' '4759A' '8299Z' '4939A' '8121Z' '3832Z' '3311Z' '4399A' '7311Z'
 '3811Z']",code_fantoir,code_fantoir
COLL_SIRET,"[21930064700019 21930064700019 21930064700019 21930064700019
 21930064700019 21930064700019 21930064700019 21930064700019
 21930064700019 21930064700019]",siret,siret
ETABLISSEMENT,"['0421095M' '0691774D' '0751723R' '0623957P' '0141408E' '0101060Y'
 '0062126D' '0542493S' '0512146F' '0171463Y']",uai,uai
Programmé Région,[10737. 15000. 15840.  3293. 52500. 50050. 24500. 54000.  7500.],code_csp_insee,code_csp_insee
Jour,"['Samedi' 'Dimanche' 'Samedi' 'Samedi' 'Dimanche' 'Samedi' 'Dimanche'
 'Samedi' 'Dimanche' 'Samedi']",jour_de_la_semaine,jour_de_la_semaine
DATE,"['13 juillet 2018' '13 juillet 2018' '13 juillet 2018' '13 juillet 2018'
 '13 juillet 2018' '13 juillet 2018' '13 juillet 2018' '13 juillet 2018'
 '13 juillet 2018' '13 juillet 2018']",date_fr,date_fr
Base SIRENE : Code APE de l'établissement siège,"['7112B' '7010Z' '7219Z' '7219Z' '7219Z' '2630Z' '2829B' '7490B' '7219Z'
 '3832Z']",insee_ape700,insee_ape700
Echéance,"['2020-08-05 00:00:00' '2021-12-01 00:00:00' '2037-05-29 00:00:00'
 '2034-11-24 00:00:00' '2037-03-11 00:00:00' '2036-10-27 00:00:00'
 '2027-04-26 00:00:00' '2032-06-07 00:00:00' '2048-03-17 00:00:00'
 '2047-07-25 00:00:00']",datetime_iso,datetime_iso
